category,brand,price,rating,capacity,energy_rating,height,width,depth,water_consumption,power_consumption,display,door_opening,image_path,product_url
ماشین لباسشویی,پاکشوما,17799000,,12 کیلوگرم,A+,100.0,60.0,63.0,nan,nan,نشانگر LED,به سمت بالا,D:/ماشین لباسشویی/image_34.jpg,https://www.digikala.com/product/dkp-18139489/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-12-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-tlab-%DB%B1%DB%B2%DB%B0%DB%B1-s/
ماشین لباسشویی,پاکشوما,29099000,3.8,9 کیلوگرم,A++,85.0,60.0,60.0,C,nan,نشانگر LED لمسی,به سمت چپ,D:/ماشین لباسشویی/image_35.jpg,https://www.digikala.com/product/dkp-16343862/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-bwf-40107-iwt-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-9-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,پاکشوما,11000000,,7 کیلوگرم,A+,85.0,49.0,53.0,nan,nan,نشانگر LED,به سمت بالا,D:/ماشین لباسشویی/image_36.jpg,https://www.digikala.com/product/dkp-18139257/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-tlx7001iw-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-7-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,ایکس ویژن,22000000,4.4,8 کیلوگرم,nan,85.0,60.0,52.0,B,A+++,nan,به سمت چپ,D:/ماشین لباسشویی/image_37.jpg,https://www.digikala.com/product/dkp-10859392/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%DB%8C%DA%A9%D8%B3-%D9%88%DB%8C%DA%98%D9%86-%D9%85%D8%AF%D9%84-tg82-asaw-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,دوو,33660000,4.8,8 کیلوگرم,A+++,85.0,59.5,63.5,C,nan,نشانگر LED لمسی,به سمت چپ,D:/ماشین لباسشویی/image_38.jpg,https://www.digikala.com/product/dkp-18259744/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-lm-881s-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,اسنوا,23766160,4.7,8 کیلوگرم,A+++,82.5,59.5,60.0,nan,nan,نشانگر LED,به سمت چپ,D:/ماشین لباسشویی/image_39.jpg,https://www.digikala.com/product/dkp-17900245/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-swm-c81w/
ماشین لباسشویی,دوو,30252870,4.3,8 کیلوگرم,nan,82.5,59.5,63.0,nan,nan,صفحه نمایش,به سمت چپ,D:/ماشین لباسشویی/image_40.jpg,https://www.digikala.com/product/dkp-11206428/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-dwk-zl860cc-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,جی پلاس,31850000,4.7,9 کیلوگرم,A+++,85.0,60.0,56.0,A,nan,لمسی نشانگر LED,به سمت چپ,D:/ماشین لباسشویی/image_41.jpg,https://www.digikala.com/product/dkp-18150978/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%AC%DB%8C-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gwm-m990s-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-9-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,پاکشوما,30942000,4.3,8 کیلوگرم,nan,60.0,85.0,54.0,nan,nan,nan,به سمت چپ,D:/ماشین لباسشویی/image_42.jpg,https://www.digikala.com/product/dkp-12124656/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-bwf-40804-st-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,پاکشوما,28860000,4.0,8 کیلوگرم,A++,85.0,60.0,54.0,C,nan,نشانگر LED صفحه نمایش,به سمت چپ,D:/ماشین لباسشویی/image_43.jpg,https://www.digikala.com/product/dkp-11680570/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-bwf-40801-wt/
ماشین لباسشویی,اسنوا,26488790,4.4,8 کیلوگرم,A+++,80.0,60.0,60.0,nan,nan,نشانگر LED,به سمت چپ,D:/ماشین لباسشویی/image_44.jpg,https://www.digikala.com/product/dkp-16357792/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-swm-b80w/
ماشین لباسشویی,جی پلاس,31700000,3.8,8 کیلوگرم,nan,85.0,60.0,59.5,nan,nan,صفحه نمایش,به سمت راست,D:/ماشین لباسشویی/image_45.jpg,https://www.digikala.com/product/dkp-6526511/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%AC%DB%8C-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gwm-l8645t-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,جی پلاس,35070000,5.0,9 کیلوگرم,A+++,85.0,60.0,56.0,A,nan,لمسی نشانگر LED,به سمت چپ,D:/ماشین لباسشویی/image_46.jpg,https://www.digikala.com/product/dkp-18151086/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%AC%DB%8C-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gwm-m990w-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-9-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,ریتون,8910000,5.0,14 کیلوگرم,A+++,100.0,90.0,56.0,A+,A+++,معمولی,به سمت بالا,D:/ماشین لباسشویی/image_47.jpg,https://www.digikala.com/product/dkp-17956705/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D9%86%DB%8C%D9%85%D9%87-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%B1%DB%8C%D8%AA%D9%88%D9%86-%D9%85%D8%AF%D9%84-rwm-1402-t-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-14-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,پاکشوما,12468000,4.0,7 کیلوگرم,A+,100.0,55.0,55.0,A+,nan,نشانگر LED,به سمت بالا,D:/ماشین لباسشویی/image_48.jpg,https://www.digikala.com/product/dkp-16308102/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-tlx-7001-w-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-%DB%B7-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,جی پلاس,27299000,3.3,8 کیلوگرم,A+++,85.0,60.0,58.0,B,nan,nan,به سمت چپ,D:/ماشین لباسشویی/image_49.jpg,https://www.digikala.com/product/dkp-18152281/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%AC%DB%8C-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gwm-m870w-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,دوو,24699000,4.1,8 کیلوگرم,A+++,82.5,59.5,63.0,C,nan,نشانگر LED لمسی,به سمت چپ,D:/ماشین لباسشویی/image_50.jpg,https://www.digikala.com/product/dkp-17905597/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-lm-811w-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,دوو,30505610,4.9,8 کیلوگرم,A+++,85.0,60.0,63.0,A,nan,صفحه نمایش لمسی,به سمت چپ,D:/ماشین لباسشویی/image_51.jpg,https://www.digikala.com/product/dkp-16388927/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-lm-850ws-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-%DB%B8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,پاکشوما,26864500,4.5,8 کیلوگرم,A++,85.0,60.0,54.0,nan,nan,نشانگر LED,به سمت چپ,D:/ماشین لباسشویی/image_52.jpg,https://www.digikala.com/product/dkp-17776889/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-bwf-40801-iwt-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,ریتون,7260000,4.6,8.5 کیلوگرم,A+++,77.0,90.0,45.0,کم مصرف A+,4 آمپر,معمولی,به سمت بالا,D:/ماشین لباسشویی/image_53.jpg,https://www.digikala.com/product/dkp-17956753/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-85-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85-%D9%86%DB%8C%D9%85%D9%87-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%B1%DB%8C%D8%AA%D9%88%D9%86-%D9%85%D8%AF%D9%84-rwm-8502/
ماشین لباسشویی,جی پلاس,31350000,4.8,8 کیلوگرم,A+++,85.0,60.0,56.0,B,nan,نشانگر LED لمسی,به سمت چپ,D:/ماشین لباسشویی/image_54.jpg,https://www.digikala.com/product/dkp-18152022/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%AC%DB%8C-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gwm-m880w-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,دوو,37500000,4.7,9 کیلوگرم,A+++,85.0,59.5,63.5,C,nan,نشانگر LED,به سمت چپ,D:/ماشین لباسشویی/image_55.jpg,https://www.digikala.com/product/dkp-18271372/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-lm-981w-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-9-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,پاکشوما,27875880,3.9,8 کیلوگرم,nan,85.0,60.0,55.0,C,A++,صفحه نمایش,به سمت چپ,D:/ماشین لباسشویی/image_56.jpg,https://www.digikala.com/product/dkp-11079338/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-tfb-86402-st-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85-clone-1-of-9519866/
ماشین لباسشویی,وست پوینت,42318600,3.6,10.5 کیلوگرم,nan,80.0,60.0,60.0,nan,+++A,nan,به سمت چپ,D:/ماشین لباسشویی/image_57.jpg,https://www.digikala.com/product/dkp-11114582/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D9%88%D8%B3%D8%AA-%D9%BE%D9%88%DB%8C%D9%86%D8%AA-%D9%85%D8%AF%D9%84-xqg90-1401-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-105-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,اسنوا,25141560,3.0,8 کیلوگرم,A+++,85.0,59.5,63.5,C,nan,nan,به سمت چپ,D:/ماشین لباسشویی/image_58.jpg,https://www.digikala.com/product/dkp-17818029/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-swm-a81s/
ماشین لباسشویی,اسنوا,24559000,4.0,8 کیلوگرم,A+++,85.0,59.5,63.5,c,nan,نشانگر LED,به سمت چپ,D:/ماشین لباسشویی/image_59.jpg,https://www.digikala.com/product/dkp-17344620/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-swm-a81w/
ماشین لباسشویی,پاکشوما,31500000,4.6,9 کیلوگرم,A++,85.0,60.0,60.0,C,nan,صفحه نمایش,به سمت چپ,D:/ماشین لباسشویی/image_60.jpg,https://www.digikala.com/product/dkp-15749536/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-9-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-bwf-40902-iwt/
ماشین لباسشویی,ایکس ویژن,39870700,4.4,10 کیلوگرم,A+++,85.0,59.5,62.0,nan,nan,نشانگر LED,به سمت چپ,D:/ماشین لباسشویی/image_61.jpg,https://www.digikala.com/product/dkp-13635960/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%A7%DB%8C%DA%A9%D8%B3-%D9%88%DB%8C%DA%98%D9%86-%D9%85%D8%AF%D9%84-tv102-awd-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-10-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,اینترنشنال آنیل,7970000,3.6,11 کیلوگرم,nan,980.0,840.0,540.0,nan,nan,nan,به سمت بالا,D:/ماشین لباسشویی/image_62.jpg,https://www.digikala.com/product/dkp-1577583/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%AF%D9%88-%D9%82%D9%84%D9%88-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%B4%D9%86%D8%A7%D9%84-%D8%A2%D9%86%DB%8C%D9%84-%D9%85%D8%AF%D9%84-mwt11000-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-11-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,وست پوینت,41500000,3.7,9 کیلوگرم,A+++,83.0,60.0,60.0,A++,A+++,نشانگر LED,به سمت چپ,D:/ماشین لباسشویی/image_63.jpg,https://www.digikala.com/product/dkp-13264303/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D9%88%D8%B3%D8%AA-%D9%BE%D9%88%DB%8C%D9%86%D8%AA-%D9%85%D8%AF%D9%84-wmsd-9142e-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-9-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,فریدولین,11700000,4.7,4 کیلوگرم,nan,74.0,40.0,40.0,nan,nan,نشانگر LED نشان گر آماده به کار لمسی,به سمت بالا,D:/ماشین لباسشویی/image_64.jpg,https://www.digikala.com/product/dkp-18053831/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D9%81%D8%B1%DB%8C%D8%AF%D9%88%D9%84%DB%8C%D9%86-%D9%85%D8%AF%D9%84-swf40g-%DA%AF%D9%86%D8%AC%D8%A7%DB%8C%D8%B4-4-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
ماشین لباسشویی,ایکس ویژن,33888000,,9 کیلوگرم,A+++,85.0,59.5,56.0,B,nan,نشانگر LED,به سمت چپ,D:/ماشین لباسشویی/image_65.jpg,https://www.digikala.com/product/dkp-18411248/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%A7%DB%8C%DA%A9%D8%B3-%D9%88%DB%8C%DA%98%D9%86-%D9%85%D8%AF%D9%84-tp92-bwd-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-9-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
